Name,sio2,tio2,al2o3,feot,mno,bao,sro,mgo,cao,li2o,na2o,k2o,p2o5,h2o,T,viscosity,ScTg,Tg,Source
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2755,2.53,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2655,2.92,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2541,3.36,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,3.8,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,4.25,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,4.79,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2143,5.36,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,5.9,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,6.79,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,7.08,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,8.48,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,8.97,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,9.95,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,10.4,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,11.15,5.1,1453,Urbain et al. 1982
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,8.81,5.1,1453,"Hetherington et al., 1964"
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,10.22,5.1,1453,"Hetherington et al., 1964"
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,11.83,5.1,1453,"Hetherington et al., 1964"
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,13.65,5.1,1453,"Hetherington et al., 1964"
SiO2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,15.82,5.1,1453,"Hetherington et al., 1964"
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1963,2.41,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1953,2.46,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1943,2.51,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1933,2.56,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1923,2.61,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1913,2.66,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1903,2.71,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1893,2.76,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1883,2.81,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1873,2.87,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1863,2.92,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1853,2.97,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1843,3.03,9.2,1085,Riebling 1966
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1243.1,8.91,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1227.6,9.16,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1212.8,9.41,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1198.6,9.65,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1186.3,9.89,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1171.2,10.15,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1155.3,10.45,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1145.2,10.65,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1133.9,10.88,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1123.9,11.11,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1114.1,11.32,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1103.3,11.56,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1093.2,11.81,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1082.3,12.08,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1072.2,12.37,9.2,1085,Le Losq and Neuville 2013
NA75.12,75,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,1062.4,12.6,9.2,1085,Le Losq and Neuville 2013
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1102.2,11.09,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1085.5,11.59,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1059,12.57,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1072.6,12.04,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1121.2,10.5,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1110.8,10.79,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1093.3,11.33,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1134.4,10.12,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1150.8,9.72,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1172.6,9.26,4.85,1073.8,Le Losq et al. in prep
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1833,1.53,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1843,1.48,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1848,1.46,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1853,1.43,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1858,1.41,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1863,1.39,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1868,1.36,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1873,1.34,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1878,1.32,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1883,1.29,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1888,1.27,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1893,1.25,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1898,1.22,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1903,1.2,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1908,1.18,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1913,1.16,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1918,1.14,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1923,1.11,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1928,1.09,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1933,1.07,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1938,1.05,4.85,1073.8,Riebling 1966
NAK50.25.0,50,0,25,0,0,0,0,0,0,0,25,0,0,0,1943,1.03,4.85,1073.8,Riebling 1966
NAK75.12.12,75,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,1264.3,11.2,7.075,1222,Le Losq and Neuville 2013
NAK75.12.12,75,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,1260.9,11.19,7.075,1222,Le Losq and Neuville 2013
NAK75.12.12,75,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,1254.9,11.39,7.075,1222,Le Losq and Neuville 2013
NAK75.12.12,75,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,1249.6,11.44,7.075,1222,Le Losq and Neuville 2013
NAK75.12.12,75,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,1244.5,11.6,7.075,1222,Le Losq and Neuville 2013
NAK75.12.12,75,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,1234,11.8,7.075,1222,Le Losq and Neuville 2013
NAK75.12.12,75,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,1203.9,12.38,7.075,1222,Le Losq and Neuville 2013
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1117.5,12.6,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1130.9,11.92,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1139.5,11.52,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1151,11.08,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1161.9,10.62,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1170,10.27,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1172,10.13,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1179.6,9.89,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1189.2,9.56,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1198.8,9.21,9.2,1131,Neuville 1992
Ca50.25,50,0,25,0,0,0,0,0,25,0,0,0,0,0,1208.6,8.9,9.2,1131,Neuville 1992
